#{"t_start": 1769874964.780465, "env_id": "SocNavGym-v1"}
r,l,t
-217.703678,600,8.505824
-380.690384,600,11.534851
-67.830777,600,14.719234
-4.519938,600,17.581221
-167.84919,600,20.882146
-22.826487,600,24.707655
-49.235382,600,28.476948
-19.974175,600,31.924285
103.131126,403,34.111929
64.190852,582,37.535738
-18.013313,600,41.099983
28.490976,456,43.939691
-69.914325,600,47.479471
106.568667,492,50.145897
-24.296114,600,53.568575
102.180619,320,55.360081
103.564839,229,56.744616
102.533514,168,57.73745
103.302511,108,58.435907
92.242107,305,60.13103
103.369976,215,61.360348
31.67968,541,64.773583
77.462573,132,65.697262
78.715739,587,69.927946
104.210875,289,71.758206
74.893196,274,73.618596
92.96542,236,75.223724
101.316816,332,77.285072
108.864866,319,79.278377
102.272214,280,81.022689
101.650022,416,83.785034
102.397429,55,84.19285
69.007625,250,85.914637
102.067434,76,86.466429
89.480738,174,87.738112
102.968955,81,88.293354
107.532174,242,89.800701
82.646085,178,90.983363
105.603696,167,92.005059
104.215886,82,92.532019
-22.458802,413,95.085434
104.105247,85,95.675231
104.371458,118,96.461423
58.199877,401,98.983801
105.634498,218,100.290998
103.59706,89,100.859244
103.668681,96,101.486474
100.547773,19,101.647404
100.360583,184,102.757288
82.155812,250,104.380526
102.927929,121,105.141257
106.813706,215,106.397611
101.347756,100,107.068022
83.351924,80,107.604643
104.062685,167,108.68475
106.62854,203,109.946342
104.590443,112,110.656438
104.507821,98,111.297421
102.965332,79,111.829038
107.483994,180,112.94062
98.316308,112,113.677117
101.764096,71,114.163996
103.573463,71,114.65119
106.988553,176,115.752976
104.20603,123,116.511301
82.222968,167,117.657328
106.42594,209,118.936803
103.098465,117,119.680108
100.356979,96,120.31061
103.468564,79,120.826102
105.478776,152,121.790532
102.517545,56,122.165275
104.899916,97,122.787227
102.384187,88,123.364101
73.212918,201,124.694175
100.546454,27,124.905143
104.125865,81,125.448867
101.89743,45,125.777564
102.801069,171,126.848906
104.086036,120,127.617062
105.024556,107,128.314215
104.359785,94,128.931589
106.085991,242,130.42873
101.236777,33,130.669179
103.556411,53,131.054174
102.982075,73,131.538956
50.03832,286,133.458299
105.834303,155,134.492123
65.764586,201,135.760752
104.938986,122,136.548326
100.748936,17,136.701173
100.561465,10,136.8152
101.528118,39,137.114128
105.250613,109,137.824633
101.616367,46,138.140712
103.7736,117,138.900738
102.480512,109,139.602971
101.455186,59,140.002302
69.213157,243,141.579752
103.365958,59,141.997036
105.596502,86,142.576596
106.29733,110,143.303895
101.378277,66,143.739606
105.456221,88,144.345945
105.113736,213,145.70344
103.697814,116,146.469032
107.154813,173,147.594961
103.467193,87,148.198604
103.496189,67,148.666367
104.723333,102,149.346227
102.018646,44,149.659356
107.839503,169,150.749724
107.024821,294,152.701942
101.788586,29,152.930765
103.294386,73,153.440067
104.563986,82,154.001856
101.509376,38,154.276836
84.840449,103,155.01453
104.783538,78,155.551658
103.404016,72,156.063283
106.504441,107,156.764921
107.52631,100,157.414508
99.079627,198,158.675469
105.059856,87,159.280264
105.472275,106,159.986892
104.622714,79,160.529603
103.402367,114,161.278193
101.320725,30,161.522593
109.934328,147,162.519929
103.874536,53,162.91253
106.241694,91,163.532945
100.209341,104,164.279924
98.701843,51,164.640864
101.941898,70,165.15005
99.840159,155,166.156219
105.000156,99,166.819679
106.206565,167,167.938145
89.279942,192,169.218349
103.867524,50,169.593873
107.179008,114,170.357477
100.553196,14,170.491064
105.145868,68,170.973457
101.766481,33,171.234456
104.505681,86,171.820106
100.859082,20,171.984024
104.701114,80,172.536598
105.675662,80,173.087926
74.677651,150,174.138822
104.778796,98,174.791136
101.606877,27,175.008897
103.501728,74,175.512717
105.833069,173,176.667029
101.158475,41,176.98831
101.311061,179,178.144874
85.917476,134,179.046777
102.968233,94,179.68248
103.218144,107,180.401519
102.971541,126,181.254188
104.716752,86,181.844231
82.476302,264,183.686116
102.933692,57,184.104425
103.776703,56,184.509791
107.450053,105,185.247335
106.080144,171,186.34415
101.937345,89,186.977296
98.258856,80,187.547912
101.182573,27,187.778633
101.61162,140,188.693732
104.972325,67,189.166402
108.294164,114,189.967093
105.705089,103,190.666687
100.067021,87,191.246038
97.963835,96,191.894947
103.364666,43,192.225383
102.583626,29,192.474377
100.919338,20,192.646104
80.740529,167,193.810332
103.090206,362,196.317887
100.676715,19,196.481434
103.27665,50,196.861448
100.945151,27,197.098
97.219996,194,198.383621
2.711248,490,201.755307
104.797084,77,202.306337
104.941935,66,202.782499
103.09238,65,203.24407
102.161286,33,203.498461
99.916078,76,204.067703
102.89255,32,204.325374
104.263227,125,205.17873
104.629043,65,205.643271
105.326867,83,206.260934
100.481522,33,206.52199
100.339953,107,207.237417
100.967417,76,207.797628
105.279861,81,208.414015
102.914114,129,209.316451
101.55708,104,210.014489
106.745114,125,210.88324
107.18724,177,212.12179
103.520148,42,212.439684
106.679585,149,213.486209
101.808796,87,214.093109
108.747886,143,215.099794
101.738381,87,215.711386
101.028602,20,215.885581
99.892443,143,216.915484
103.451936,112,217.739139
90.6868,250,219.399588
104.095358,109,220.19165
105.187828,149,221.24651
81.393693,269,223.16455
102.104409,49,223.546707
104.879678,62,224.008641
104.339413,111,224.767018
97.892378,91,225.400209
100.99793,106,226.192208
103.823225,112,226.988533
100.532144,20,227.182456
106.740884,95,227.872637
103.751517,55,228.285163
102.556199,38,228.579801
107.610648,100,229.293714
104.13996,55,229.731887
103.912835,218,231.186145
103.797201,57,231.603123
100.521869,128,232.451503
102.784619,90,233.064296
100.653903,136,233.977685
104.155489,140,234.917889
105.190709,112,235.692633
94.619355,154,236.773639
102.270549,37,237.074347
101.191875,43,237.391592
103.772495,330,239.525828
103.881961,106,240.245255
105.454534,87,240.845309
103.270337,46,241.211774
105.593377,69,241.716648
104.812645,114,242.481808
107.01136,149,243.520022
104.022823,54,243.920744
103.521079,44,244.269811
102.791602,45,244.605165
103.991648,44,244.951735
102.054917,33,245.207053
101.155069,20,245.376854
104.405969,96,246.02469
104.261663,109,246.757555
103.653844,49,247.117071
104.75082,141,248.112638
101.30197,56,248.51314
102.976199,118,249.317717
100.199704,4,249.385555
106.616212,79,249.971194
92.582836,134,250.91905
102.071199,73,251.437019
103.607585,45,251.792864
101.291341,206,253.18479
107.072798,86,253.812661
101.817417,22,254.001003
99.792626,91,254.623076
103.584103,169,255.806066
104.161578,79,256.362879
105.688301,81,256.945965
105.637584,78,257.515689
104.793046,74,258.022832
102.639446,67,258.503386
106.601737,122,259.347329
104.888162,61,262.906923
106.548803,75,263.701834
101.768604,99,264.404677
101.877184,71,264.906004
8.817903,156,266.020602
106.752773,74,266.578992
102.230731,99,267.236611
102.922576,44,267.571781
107.425142,140,268.565761
102.754077,93,269.261156
100.066499,8,269.366331
104.153671,70,269.878392
104.783657,63,270.337221
106.572671,74,270.873249
105.731478,76,271.440613
105.376933,69,271.95277
105.054035,88,272.559281
107.417776,92,273.23467
102.602419,52,273.63217
104.651426,66,274.124475
99.849528,71,274.624906
105.38472,74,275.155714
103.529872,40,275.475512
102.511229,41,276.063182
99.497001,107,276.78556
101.91563,29,277.024767
103.211359,57,277.451651
101.528376,22,277.638519
103.581398,76,278.195362
103.105528,81,278.781541
102.653153,81,279.351439
92.069768,196,280.659191
104.052878,55,281.077079
107.697129,106,281.838381
-376.268101,600,286.083496
102.328722,72,286.597284
102.356909,36,286.887749
106.416053,80,287.490098
107.336137,130,288.463474
105.603439,61,288.937589
107.737041,109,289.742026
107.487927,106,290.496636
104.989561,56,290.930722
104.477316,65,291.423537
103.025474,38,291.713104
102.993091,63,292.181879
104.327224,60,292.637773
104.006142,55,293.056978
105.348403,60,293.513916
105.723964,96,294.201972
102.805198,40,294.508835
51.716742,115,295.364188
101.754317,27,295.603522
102.832849,40,295.927521
106.469939,103,296.710655
100.352859,62,297.150384
102.049772,86,297.743195
104.936145,109,298.510391
104.753581,92,299.198062
103.950033,86,299.801236
100.539564,15,299.938664
105.329509,70,300.452089
106.065536,79,301.051574
102.247513,41,301.37673
105.714276,146,302.393291
105.445183,78,302.99378
102.15665,34,303.271445
102.711504,43,303.639947
99.675617,73,304.170662
101.533331,87,304.792339
106.526581,197,306.157121
100.662981,48,306.506389
100.487103,59,306.945301
101.998765,53,307.385652
105.624291,99,308.231654
106.070797,86,309.588494
100.160589,45,309.967294
107.39266,140,311.012026
105.370455,63,311.480657
102.244889,74,312.005146
104.043278,56,312.448146
103.130603,46,312.802799
107.664641,167,313.921769
105.672832,67,314.428541
105.184255,63,314.918262
105.859409,126,315.801586
105.561344,80,316.398698
102.219439,33,316.668402
105.157116,102,317.383124
106.74563,138,318.334098
105.154287,134,319.31868
103.21353,63,319.77754
104.189142,67,320.26086
101.209871,110,321.056953
103.298393,73,321.594541
100.741022,46,321.953632
100.64511,13,322.079407
103.883629,68,322.55583
100.591628,10,322.667037
103.965415,125,323.533552
103.41836,43,323.871138
107.093287,108,324.619848
103.759281,53,325.004101
102.877866,42,325.31485
102.113549,39,325.593338
101.233323,112,326.363228
103.60322,43,326.714631
103.466614,48,327.071897
101.660283,85,327.679623
99.754495,83,328.320536
102.924507,43,328.658857
103.334507,40,328.965102
105.675592,84,329.571466
101.755587,20,329.759224
103.383877,55,330.17294
104.308691,95,330.846686
101.558291,23,331.035305
102.436751,110,331.686418
101.699125,20,331.850572
102.859604,52,332.192575
102.595268,124,332.917548
100.038243,78,333.435845
104.438449,69,333.878402
107.827351,89,334.452608
102.880423,70,334.90619
99.899794,69,335.369489
103.775273,90,335.982014
103.765376,82,336.500002
103.519836,38,336.779299
106.019352,85,337.305918
105.346123,71,337.798261
105.979084,158,338.838448
107.845072,119,339.608057
102.208738,29,339.829939
105.293396,61,340.285353
104.174775,136,341.18225
103.069146,73,341.636833
99.009128,123,342.364779
101.94696,99,342.934366
102.261816,109,343.591406
103.432167,46,343.896907
100.172397,185,345.061616
105.470376,102,345.783556
104.815909,69,346.239757
104.954939,117,346.986071
104.936383,76,347.472499
102.979243,42,347.762275
103.814706,81,348.293876
104.307715,77,348.822675
-564.711083,600,352.965572
106.161346,74,353.469053
104.347255,52,353.839753
106.212479,154,354.766948
102.168801,134,355.620651
104.335725,84,356.161505
107.90006,102,356.820783
105.564165,78,357.331302
103.397153,69,357.775924
102.191206,26,357.9813
105.206742,62,358.390559
101.693564,29,358.629771
107.113911,131,359.42251
106.268788,93,360.016966
103.212566,38,360.317083
70.890968,137,361.226772
100.034019,109,361.89045
105.638247,128,362.670896
107.124045,96,363.271264
101.221274,85,363.785479
103.232828,167,364.766595
100.531043,43,365.055127
105.039903,167,366.041284
104.936871,77,366.531319
103.783191,51,366.898855
103.43294,112,367.603014
102.085697,60,367.978328
107.064422,130,368.796288
108.870732,117,369.565138
101.043468,58,369.945052
103.065948,99,370.596606
105.809298,192,371.792516
103.364314,104,372.427376
101.075222,17,372.567297
102.685709,70,373.018966
100.16506,5,373.087878
104.946791,71,373.536429
105.598997,122,374.303487
103.841587,153,375.218767
104.689485,50,375.564456
102.42333,104,376.211422
104.203988,55,376.58047
105.012067,69,377.031444
101.91013,53,377.3746
102.938349,96,377.996051
102.773478,43,378.290258
103.455208,73,378.763166
100.761957,66,379.185937
106.439131,104,379.83773
104.071746,43,380.144882
102.794902,92,380.747622
80.449762,480,383.749929
104.660497,121,384.503678
101.740122,27,384.70356
104.282493,87,385.275478
101.605041,26,385.476436
101.381866,19,385.62907
101.110197,37,385.885417
107.317876,97,386.52238
103.133406,83,387.060483
100.329086,24,387.246297
102.421729,35,387.492186
103.725466,61,387.9001
102.558543,32,388.141933
105.723672,118,388.917492
102.858494,49,389.26584
105.330638,128,390.07418
105.684775,91,390.667576
79.508177,54,391.077384
101.32932,39,391.376189
107.203561,80,391.91995
103.379538,44,392.237584
100.036001,140,393.106943
105.824132,66,393.557053
101.372708,16,393.697565
101.978976,48,394.018247
105.134501,76,394.526603
103.989686,53,394.891362
102.950071,42,395.185303
102.570778,37,395.461045
101.74189,41,395.754695
102.821192,34,396.036811
107.531157,96,396.77289
102.424082,66,397.280182
102.025543,29,397.523424
102.03344,25,397.739895
100.522719,57,398.110315
93.349859,98,398.766662
103.724808,95,399.380766
101.80425,26,399.573344
105.585496,71,400.033919
102.804108,43,400.323701
105.682882,67,400.756759
105.532431,121,401.597399
102.92387,80,402.142002
104.599304,55,402.511262
100.784589,15,402.638389
103.690134,70,403.08908
106.559309,119,403.85386
103.039624,67,404.281696
104.104202,53,404.647878
95.559392,143,405.492507
105.30244,124,406.285481
106.028185,91,406.875656
102.205279,35,407.122808
105.681047,85,407.676744
102.647692,97,408.275234
105.85833,65,408.738827
107.551236,87,409.312635
102.555532,61,409.734472
102.470608,160,410.726903
100.827951,11,410.830107
104.8436,74,411.326818
106.350311,99,412.029252
104.938864,57,412.419123
105.930152,108,413.119871
103.045557,35,413.374748
105.245876,104,414.049094
103.569369,47,414.371549
107.346295,93,414.97601
104.130941,52,415.359415
106.733654,154,416.31479
102.757669,51,416.67279
103.780737,56,417.049028
104.211119,190,418.216229
102.416125,48,418.535047
105.525431,72,419.01545
105.415222,75,419.510533
102.007935,86,420.055569
101.409358,62,420.452973
103.994379,50,420.798024
104.038284,44,421.107625
100.608008,77,421.577679
103.257269,43,421.893169
105.970326,102,422.563883
105.882585,95,423.170659
98.24388,159,424.120768
98.656558,168,425.10823
101.349844,23,425.282681
103.330013,81,425.805967
102.449957,33,426.04775
104.90122,64,426.464741
106.197537,107,427.154486
103.905508,59,427.537686
102.295207,44,427.8357
103.474665,79,428.368744
100.824922,43,428.658426
102.504315,29,428.881517
104.120618,130,429.691753
100.348419,102,430.323726
103.794195,138,431.176915
108.167942,106,431.868077
101.977944,32,432.121938
104.81172,62,432.569116
101.455008,17,432.708484
103.978182,59,433.101424
108.214552,93,433.716113
105.144763,69,434.174012
105.837819,95,434.773731
102.66652,44,435.072614
102.375608,30,435.291158
104.469545,70,435.774799
103.323931,59,436.184593
104.401598,60,436.585893
103.739054,45,436.907701
103.389842,44,437.208946
104.579463,231,438.631775
100.891288,12,438.744932
101.488594,17,438.889888
104.14859,80,439.406901
-40.91536,320,441.739363
103.681713,51,442.152139
103.072698,39,442.477433
103.107823,42,442.80131
102.317051,34,443.083226
104.363954,81,443.698557
102.133536,28,443.926743
104.895331,72,444.454192
102.710262,58,444.873555
103.091318,282,446.703436
99.114849,102,447.37602
101.594954,26,447.585103
105.418801,83,448.136873
105.034952,74,448.650783
102.805332,43,448.97804
100.111369,205,450.300549
102.024475,29,450.528216
102.047916,31,450.791802
96.806301,117,451.576356
101.249128,18,451.736093
101.167908,19,451.924158
102.19047,46,452.282564
105.131004,64,452.785051
105.479419,70,453.276121
102.797808,46,453.618976
101.017945,15,453.768217
107.006666,113,454.540436
101.634417,39,454.841753
109.032817,190,456.114561
103.023359,211,457.490546
103.297479,40,457.812493
100.254709,79,458.362119
100.670699,11,458.48337
101.754601,32,458.737904
103.163701,71,459.252002
100.88501,28,459.473951
103.341796,48,459.843721
99.385478,95,460.527866
104.038008,43,460.861132
104.938062,107,461.613648
107.82526,96,462.312232
104.763309,67,462.844386
102.395136,67,463.303367
106.222568,145,464.24596
102.264844,33,464.489146
104.818293,166,465.538781
102.043792,24,465.748235
101.3845,21,465.923718
104.164461,55,466.313849
102.464924,40,466.620304
105.043332,63,467.08439
105.286488,58,467.518036
107.747813,108,468.307033
102.866591,87,468.899791
106.183837,118,469.662293
104.042245,72,470.124846
102.868252,111,470.837569
103.710809,76,471.33351
102.08928,29,471.550152
102.262904,49,471.886433
104.624576,87,472.44324
103.332386,75,473.000355
103.235545,48,473.341415
108.489059,116,474.141349
106.562841,106,474.87411
102.757507,40,475.187265
102.203698,34,475.474435
103.907826,42,475.816813
107.299207,94,476.519426
104.422972,86,477.149096
103.0288,126,478.089243
104.083318,139,479.046697
103.841435,131,479.978177
102.500091,87,480.614991
98.634565,99,483.445752
102.313903,26,483.666093
105.035771,68,484.127187
102.299867,135,484.98456
106.422003,80,485.511396
104.798593,90,486.089375
105.416979,67,486.633432
109.554367,135,487.671686
103.947721,82,488.318649
103.166763,38,488.651796
106.212679,111,489.385718
103.659533,42,489.67557
100.866108,13,489.795544
104.526064,79,490.331305
106.436188,79,490.914624
103.409593,44,491.257498
95.337854,170,492.417753
102.027202,79,493.019977
101.873632,42,493.37641
104.904258,66,493.895682
102.528761,88,494.568398
103.929351,56,494.991627
100.275524,5,495.066474
105.163536,76,495.634981
101.347987,21,495.821087
101.585907,127,496.688142
104.960792,99,497.41053
107.234272,98,498.154311
100.455747,129,498.97866
104.518485,90,499.649154
106.971475,87,500.281051
100.564968,32,500.527253
101.322393,20,500.709047
102.442624,50,501.070671
101.712711,31,501.333423
102.78261,44,501.673276
103.094722,100,502.340518
107.737241,109,503.085972
103.194754,42,503.408173
104.614854,90,503.993584
101.499126,19,504.162909
101.426893,24,504.35771
106.56604,76,504.881438
106.099017,149,505.799591
104.57582,92,506.418518
107.642267,100,507.131135
103.269527,103,507.821915
83.7224,162,508.886373
104.634917,59,509.320586
104.796929,77,509.870148
103.289597,73,510.369982
104.847587,57,510.793533
100.794702,10,510.917659
105.458722,68,511.396274
